Woi,CAPEX,id,Crusher1,microwave_choice,ore_sorter_choice,screen1_choice,part2_choice,Jb1,Screen2,crusher2_choice,Crusher2,part3_choice,primary_bm_BallMill,primary_bm_CS_sim,Screen1,HPGR,hpgr_fsp,hpgr_U
8.082795968,120.4722822,702,10,without,without,without,CAHM,10.58718869,4,,,HPGR_Fines,31,0.68666213,,,,
8.155549526,99.62301874,192,9,without,without,without,CAHM,14,4,,,HPGR_Fines,27,0.7,,,,
8.155549526,99.62301874,208,9,without,without,without,CAHM,14,4,,,HPGR_Fines,27,0.7,,,,
8.155549526,99.62301874,362,9,without,without,without,CAHM,14,4,,,HPGR_Fines,27,0.7,,,,
8.155549526,99.62301874,438,9,without,without,without,CAHM,14,4,,,HPGR_Fines,27,0.7,,,,
8.198298121,104.3997999,290,9,without,with,without,CAHM,14,4,,,HPGR_Fines,27,0.7,,,,
8.221014186,111.9645143,886,9,with,without,without,SAG,10.58718869,4,without,,HPGR_Fines,27,0.7,,,,
8.294701749,152.0122521,156,9,with,with,without,CAHM,15.26511836,4,,,HPGR_Fines,31,0.7,,,,
8.31396538,104.3401157,379,9,without,with,without,CAHM,14.3291247,4,,,HPGR_Fines,27,0.730541648,,,,
8.366686701,117.5875612,152,9,without,without,without,CAHM,12.27641874,4,,,HPGR_Fines,30,0.69092156,,,,
8.394437937,99.5671852,604,9,without,without,without,CAHM,17.65949404,4,,,HPGR_Fines,27,0.729417423,,,,
8.490593539,96.90599889,822,9,with,without,without,CAHM,11.1216273,4,,,Mono_Roll,27,0.68666213,,,,
8.49282316,96.90599889,637,9,with,without,without,CAHM,11.2088748,4,,,Mono_Roll,27,0.68666213,,,,
8.508994205,94.90022301,802,10,with,without,without,CAHM,10.79909115,4,,,Mono_Roll,27,0.694643113,,,,
8.508994205,94.90022301,892,10,with,without,without,CAHM,10.79909115,4,,,Mono_Roll,27,0.694643113,,,,
8.682197296,96.88289536,582,9,with,without,without,CAHM,11.1216273,4,,,Mono_Roll,27,0.729417423,,,,
8.705554324,94.87904477,935,10,with,without,without,CAHM,10.79909115,4,,,Mono_Roll,27,0.736790246,,,,
8.706686348,94.88097006,929,10,with,without,without,CAHM,11.1216273,4,,,Mono_Roll,27,0.73434179,,,,
8.715292178,133.3265754,393,9,with,with,without,SAG,10.58718869,4,with,2,HPGR_Fines,29,0.7,,,,
8.725399936,101.7482401,440,9,with,with,without,CAHM,12.39324995,4,,,Mono_Roll,27,0.7,,,,
8.739692472,94.87519418,962,10,with,without,without,CAHM,10.58718869,4,,,Mono_Roll,27,0.745200627,,,,
8.741687047,94.93680361,681,10,with,without,without,CAHM,11.87892734,4,,,Mono_Roll,27,0.7,,,,
8.809952264,94.92525184,517,10,with,without,without,CAHM,12.21435708,4,,,Mono_Roll,27,0.69092156,,,,
8.87873015,94.8655677,995,10,with,without,without,CAHM,10.79909115,4,,,Mono_Roll,27,0.769444271,,,,
9.397907278,70.57792671,945,10,without,without,without,CAHM,10.58718869,4,,,Mono_Roll,27,0.68666213,,,,
9.397907278,70.57792671,989,10,without,without,without,CAHM,10.58718869,4,,,Mono_Roll,27,0.68666213,,,,
9.398304234,111.9953191,376,9,with,without,without,SAG,14,4,without,,HPGR_Fines,27,0.745200627,,,,
